gene_name
abl1
akt1
arhgef12
atf1
axin1
bax
bcl2
brca1
btk
bub1b
cant1
casp3
cblb
ccnd1
ccnd3
cdk4
cdk6
cdkn1a
cdkn1b
cdkn2a
cebpa
chek2
chic2
cltc
col1a1
creb1
ctnnd1
cxcr4
daxx
ddb2
ddx10
dnajb1
dnmt3a
eed
egfr
epha3
erbb2
erbb3
etv1
ext1
ezh2
fah
fas
fat1
fbxo11
fgfr2
fgfr4
foxo3
foxo4
gata2
gata3
gna11
gnas
herpud1
hif1a
hmga2
igf2bp2
ikbkb
ikzf1
jun
kat6a
kat6b
kdm5a
keap1
kit
ktn1
lyn
malt1
mllt11
msh6
muc1
myc
nfe2l2
nfkb2
nfkbie
notch1
nras
pax8
pcm1
pik3ca
pik3r3
pparg
prkaca
psip1
ptpn6
ptprc
ptprk
rad51c
ralgds
rasa1
rb1
rhoa
rpn1
sdhb
smad3
smarca4
smc1a
sox2
spen
src
stat3
stat5b
suz12
syk
tert
tgfbr2
tp53
zmym2
